VendorNumber,VendorName,Brand,Description,PurchasePrice,ActualPrice,Volume,TotalPurchaseQuantity,TotalPurchaseDollars,TotalSalesQuantity,TotalSalesDollars,TotalSalesPrice,TotalExciseTax,FreightCost,GrossProfit,ProfitMargin,StorkTrunover,SalestoPurchaseRatio
3664,WILLIAM GRANT & SONS INC,1921,Glenfiddich Special Rsv 12,52.71,67.99,1750,6436,339241.56,5463,379168.37,230498.02,10040.87,30234.42,39926.81,10.53010039,0.848819142,1.117694336
3960,DIAGEO NORTH AMERICA INC,4264,Capt Morgan Spiced Rum Trav,11.53,16.99,750,29352,338428.56,28860,447487.4,211607.67,22722.45,257032.07,109058.84,24.37137671,0.983237939,1.322250699
3960,DIAGEO NORTH AMERICA INC,2752,Johnnie Walker Black Label,26.31,38.99,750,12778,336189.18,13083,490792.17,271655.89,10306.04,257032.07,154602.99,31.50070426,1.02386915,1.459869024
12546,JIM BEAM BRANDS COMPANY,3997,Hornitos Plata Tequila,14.05,19.99,750,23835,334881.75,23007,474637.93,233740.73,18117.01,123880.97,139756.18,29.44479806,0.965261171,1.417329938
3664,WILLIAM GRANT & SONS INC,3234,Hendrick's Gin,45.92,62.99,1750,7290,334756.8,7465,467921.35,294818.1,13719.89,30234.42,133164.55,28.45874633,1.024005487,1.397794907
8004,SAZERAC CO INC,1767,Buffalo Trace Bourbon,19.37,24.99,750,17274,334597.38,16336,412468.64,203881.09,12865.98,50293.62,77871.26,18.8793165,0.945698738,1.232731231
3664,WILLIAM GRANT & SONS INC,5337,Drambuie,20.6,27.99,750,16167,333040.2,14262,394423.38,219275.17,11234.04,30234.42,61383.18,15.56276405,0.882167378,1.184311624
7239,REMY COINTREAU USA INC,4437,Mount Gay Eclipse,23.48,30.99,1750,14171,332735.08,13562,461672.38,235529.35,24922.55,16978.67,128937.3,27.92831141,0.95702491,1.387507383
1392,CONSTELLATION BRANDS INC,11213,Meiomi Pnt Nr,12.66,19.99,750,26190,331565.4,25652,503067.48,150294.92,2871.66,79528.99,171502.08,34.09126744,0.979457808,1.517249629
8004,SAZERAC CO INC,5299,Southern Comfort,15.26,21.99,1750,21713,331340.38,19895,412339.05,130310.43,36554.34,50293.62,80998.67,19.64370583,0.916271358,1.244457588
7239,REMY COINTREAU USA INC,782,Remy Martin 1738 Accord Ryl,35.15,54.99,750,9415,330937.25,9148,444072.52,151788.57,7204.4,16978.67,113135.27,25.47675546,0.971640998,1.341863208
3960,DIAGEO NORTH AMERICA INC,2889,Buchanans Deluxe 12Yr Scotch,23.07,31.99,750,14260,328978.2,13468,432258.32,78540.69,10606.02,257032.07,103280.12,23.89314797,0.944460028,1.31394214
3960,DIAGEO NORTH AMERICA INC,3549,Ketel One Vodka,17.82,26.99,750,18322,326498.04,16532,407030.68,212090.72,13020.04,257032.07,80532.64,19.785398,0.902303242,1.246655815
17035,PERNOD RICARD USA,857,Kahlua,16.17,21.99,1000,20165,326068.05,19674,462932.26,199801.36,20657.7,123780.22,136864.21,29.56463004,0.97565088,1.419741247
3960,DIAGEO NORTH AMERICA INC,8506,Myers Original Dark Rum,21.42,29.99,1750,15187,325305.54,14633,449036.67,198940.7,26889.58,257032.07,123731.13,27.55479413,0.963521433,1.38035359
4425,MARTIGNETTI COMPANIES,14672,Duckhorn Decoy Cab Svgn,11.61,21.99,750,27814,322920.54,27729,508256.95,143395.56,3105.32,144929.24,185336.41,36.46510097,0.996943985,1.573938127
4425,MARTIGNETTI COMPANIES,6579,J Lohr Riverstone Chard,5.8,8.99,750,54960,318768,56157,605967.38,121728.33,6301.71,144929.24,287199.38,47.39518817,1.021779476,1.900966785
3252,E & J GALLO WINERY,2164,New Amsterdam Gin,12.14,16.99,1750,26071,316501.94,24495,431674.05,208640.77,45007.59,61966.91,115172.11,26.68034134,0.939549691,1.363890692
2000,SOUTHERN WINE & SPIRITS NE,27854,F Coppola Black Label Claret,10.2,14.99,750,30869,314863.8,30768,443192.12,129556.42,3445.72,19016.59,128328.32,28.95546067,0.996728109,1.407567717
8112,MOET HENNESSY USA INC,3682,Belvedere Vodka,16.66,22.99,750,18848,314007.68,17869,413944.31,199630.16,14073.02,48347.26,99936.63,24.14253019,0.948058149,1.318261738
9552,M S WALKER INC,7878,Allens Coffee Brandy,9.99,15.99,1750,31200,311688,31160,471064.4,117338.98,57256.32,55551.82,159376.4,33.83325083,0.998717949,1.511333128
2561,EDRINGTON AMERICAS,1634,The Famous Grouse,20.73,29.99,1750,15031,311592.63,14614,444949.86,224519.45,26854.42,9654.5,133357.23,29.97129384,0.972257335,1.427985829
12546,JIM BEAM BRANDS COMPANY,3444,Hornitos Plata Tequila,29.13,39.99,1750,10636,309826.68,10362,375689.38,242129.64,19042.86,123880.97,65862.7,17.53115832,0.974238436,1.212579175
17035,PERNOD RICARD USA,2426,The Glenlivet 15Yr FrenchOak,41.59,51.99,750,7445,309637.55,7445,413475.55,252067.74,5866.5,123780.22,103838,25.11345592,1,1.335353383
1392,CONSTELLATION BRANDS INC,32915,Kim Crawford Svgn Bl Marlbro,9.99,14.99,750,30842,308111.58,30869,472099.31,126472.2,3459.25,79528.99,163987.73,34.73585462,1.00087543,1.532234881
4425,MARTIGNETTI COMPANIES,35412,Yellow Tail Chard Ausl,5.97,9.99,1500,51294,306225.18,50797,491916.09,117789.6,11409.35,144929.24,185690.91,37.74849284,0.990310758,1.60638681
3960,DIAGEO NORTH AMERICA INC,3840,Smirnoff Raspberry Vodka,14.39,22.99,1750,21076,303283.64,21167,438524.33,224450.25,38894.1,257032.07,135240.69,30.83995134,1.004317707,1.445921481
9552,M S WALKER INC,3769,Jenkins Vodka,7.02,9.49,1750,42549,298693.98,42105,394134.45,134715.91,77358.39,55551.82,95440.47,24.21520626,0.989564972,1.319525924
8673,STE MICHELLE WINE ESTATES,8815,Ch Ste Michelle Chard Colmbi,6.07,8.99,750,48853,296537.71,48587,431702.35,97686.77,5449.72,15919.7,135164.64,31.30968363,0.994555094,1.45580928
3960,DIAGEO NORTH AMERICA INC,3879,Smirnoff 80 Proof Traveler,7.91,12.99,750,37344,295391.04,36604,427609.96,187268.26,28815.44,257032.07,132218.92,30.92044909,0.980184233,1.4476064
12546,JIM BEAM BRANDS COMPANY,1375,Jim Beam,11.5,14.49,750,25183,289604.5,26121,402621.29,203013.36,20569.55,123880.97,113016.79,28.07024686,1.037247349,1.390245283
8892,TRINCHERO FAMILY ESTATES,41034,Menage a Trois Red,5.26,8.99,750,54738,287921.88,54744,509372.48,132593.95,6135.29,11595.97,221450.6,43.4751795,1.000109613,1.769134322
1128,BROWN-FORMAN CORP,1545,Gentleman Jack,19.42,29.99,750,14785,287124.7,14501,423808.99,253424.58,11423.39,68601.68,136684.29,32.25138995,0.980791343,1.476045042
480,BACARDI USA INC,2665,Dewars White Label,15.38,19.99,750,18574,285668.12,19088,400461.12,215262.61,15034.06,89286.27,114793,28.66520475,1.027673091,1.401840429
1128,BROWN-FORMAN CORP,1770,Jack Daniels Tennessee Fire,26.42,38.99,1750,10746,283909.32,10128,389506.72,233847.24,18613.13,68601.68,105597.4,27.11054639,0.942490229,1.37194059
4425,MARTIGNETTI COMPANIES,6595,Bogle Merlot,4.48,6.95,750,63188,283082.24,62368,502198.46,109537.96,6997.39,144929.24,219116.22,43.63140022,0.987022852,1.774037326
1392,CONSTELLATION BRANDS INC,35472,R M Woodbridge Pnt Grigio,5.88,8.99,1500,47207,277577.16,46764,469543.36,127217.47,10501,79528.99,191966.2,40.8835938,0.990615799,1.691577794
8004,SAZERAC CO INC,5105,Dr McGillicuddy's Mentholmnt,14.81,25.99,1750,18007,266683.67,17355,390990.45,199774.49,31890.83,50293.62,124306.78,31.79279187,0.963791859,1.466120704
8004,SAZERAC CO INC,5153,Fireball Cinn Whisky Trav,10.44,15.99,750,25499,266209.56,25465,381031.35,176397.61,20051.86,50293.62,114821.79,30.13447319,0.998666614,1.431321061
3960,DIAGEO NORTH AMERICA INC,4368,Capt Morgan Private Stock,23.91,32.99,1750,11035,263846.85,11114,379652.86,234036.58,20425.75,257032.07,115806.01,30.5031312,1.007159039,1.438913749
3960,DIAGEO NORTH AMERICA INC,3488,Tanqueray,15.62,23.99,750,16740,261478.8,16745,387588.55,216983.09,13188.29,257032.07,126109.75,32.53701638,1.000298686,1.482294358
3960,DIAGEO NORTH AMERICA INC,8111,Smirnoff 80 Proof,0.77,0.99,50,337660,259998.2,334939,331589.61,21424.59,17579.29,257032.07,71591.41,21.59036587,0.991941598,1.275353483
6213,MHW LTD,5921,RumChata Liqueur,14.81,21.99,750,17419,257975.39,17317,363394.83,188150.98,13638.27,9621.58,105419.44,29.00961469,0.994144325,1.40864146
1392,CONSTELLATION BRANDS INC,40096,Black Box Cab Svgn,10.52,16.99,3000,24452,257235.04,24253,443383.47,199192.95,10913.85,79528.99,186148.43,41.98361973,0.991861606,1.72365114
17035,PERNOD RICARD USA,2756,Jameson Caskmates,22.89,29.99,750,11220,256825.8,10632,316023.68,194946.5,8376.85,123780.22,59197.88,18.73210261,0.947593583,1.230498182
9165,ULTRA BEVERAGE COMPANY LLP,15094,Butter Chard,9.08,14.99,750,28274,256727.92,25366,368418.66,107099.35,2840.41,68054.7,111690.74,30.31625488,0.897149324,1.435054902
8112,MOET HENNESSY USA INC,8612,Grand Marnier,45.79,67.99,1750,5583,255645.57,5516,351316.84,244095.86,10139.19,48347.26,95671.27,27.23219018,0.987999284,1.374234023
9815,WINE GROUP INC,6349,Glen Ellen Chard RSV,4.63,6.99,1500,55151,255349.13,54842,383345.58,101103.36,12318.42,27100.41,127996.45,33.38931154,0.9943972,1.501260568
12546,JIM BEAM BRANDS COMPANY,3351,Pinnacle Whipped Vodka,13.27,16.99,1750,19227,255142.29,18722,314369.78,174230.35,34401.58,123880.97,59227.49,18.84007108,0.973734852,1.232135135
3664,WILLIAM GRANT & SONS INC,8021,Glenfiddich Special Rsv 12,31.49,39.99,750,8081,254470.69,6976,305773.24,207326.89,5497.84,30234.42,51302.55,16.77797246,0.863259498,1.201604947
9165,ULTRA BEVERAGE COMPANY LLP,3788,Patron Silver Tequila,19.99,27.99,375,12664,253153.36,12119,332234.81,198765.83,4756.57,68054.7,79081.45,23.80287905,0.956964624,1.312385544
11567,CAMPARI AMERICA,8107,Wild Turkey 101,26.71,36.99,1750,9472,252997.12,9109,323428.91,210310.83,16742.88,20964.81,70431.79,21.77659072,0.96167652,1.278389691
8112,MOET HENNESSY USA INC,2692,Glenmorangie 10 Yr Scotch,26.31,41.99,750,9588,252260.28,9337,334079.63,208416.15,7356.72,48347.26,81819.35,24.49097241,0.973821443,1.324344958
1128,BROWN-FORMAN CORP,1237,Jack Daniels Single Barrel,33.83,44.99,750,7418,250950.94,6658,303998.42,179485.9,5246.55,68601.68,53047.48,17.44991964,0.897546508,1.211385859
480,BACARDI USA INC,3851,Grey Goose Vodka,12.02,15.99,375,20841,250508.82,20370,303207.3,131327.43,8002.79,89286.27,52698.48,17.38034671,0.977400317,1.210365767
3664,WILLIAM GRANT & SONS INC,8480,Clan MacGregor,11.19,14.99,1750,22379,250421.01,21500,329242,131701,39505.41,30234.42,78820.99,23.94013826,0.960722106,1.314753902
17035,PERNOD RICARD USA,2645,Chivas Regal,21.89,31.99,750,11427,250137.03,10418,325119.82,188947.77,8208.39,123780.22,74982.79,23.06312485,0.911700359,1.299766852
3089,SIDNEY FRANK IMPORTING CO,812,Jagermeister Liqueur,17.03,22.99,1000,14663,249710.89,14479,313344.21,150325.84,15202.95,8549.55,63633.32,20.30780144,0.987451408,1.254827973
1392,CONSTELLATION BRANDS INC,40097,Black Box Chard,10.59,16.99,3000,23567,249574.53,23511,426705.89,183298.41,10579.95,79528.99,177131.36,41.51134637,0.997623796,1.709733321
9552,M S WALKER INC,40425,Mionetto Prosecco Brut,6.42,13.99,750,38456,246887.52,37020,451247.84,112547.09,4149.3,55551.82,204360.32,45.28782232,0.962658623,1.82774666
12546,JIM BEAM BRANDS COMPANY,3696,Gilbeys Vodka,7.6,10.49,1750,32485,246886,32157,341285.93,141623.07,59081.19,123880.97,94399.93,27.66007084,0.989903032,1.382362426
8112,MOET HENNESSY USA INC,821,Grand Marnier,27.99,38.99,1000,8781,245780.19,8616,331221.84,188002.23,9046.8,48347.26,85441.65,25.7958986,0.981209429,1.347634405
12546,JIM BEAM BRANDS COMPANY,2788,Laphroaig 10 Yr Single Malt,31.24,44.99,750,7861,245577.64,7748,346877.52,221250.89,6104.98,123880.97,101299.88,29.20335685,0.985625239,1.412496349
1128,BROWN-FORMAN CORP,171,Gentleman Jack,36.76,49.99,1750,6664,244968.64,6590,338434.1,236839.04,12113.66,68601.68,93465.46,27.61703386,0.988895558,1.381540511
480,BACARDI USA INC,3436,Bombay Dry Gin,18.79,26.99,1750,12950,243330.5,12094,312799.06,182038.84,22225.65,89286.27,69468.56,22.20868567,0.933899614,1.285490557
4425,MARTIGNETTI COMPANIES,39335,Phillips Seven Deadly Znfdl,8.75,14.99,750,27503,240651.25,25987,362244.09,128359.86,2906.53,144929.24,121592.84,33.56654901,0.944878741,1.505265774
12546,JIM BEAM BRANDS COMPANY,4678,Courvoisier VS Cognac,16.78,24.99,750,14303,240004.34,14254,329579.46,163977.29,11227.39,123880.97,89575.12,27.17861119,0.996574145,1.373222918
4425,MARTIGNETTI COMPANIES,32826,Rombauer Carneros Chard,22.41,34.99,750,10641,238464.81,10274,348353.42,127288.02,1147.88,144929.24,109888.61,31.54515032,0.96551076,1.460816881
3960,DIAGEO NORTH AMERICA INC,2748,Johnnie Walker Blue Label,240.59,319.99,1750,991,238424.69,964,307040.36,225202.97,1772.12,257032.07,68615.67,22.34744318,0.972754793,1.287787603
1128,BROWN-FORMAN CORP,8526,Chambord Royale de France,20.43,27.99,750,11634,237682.62,12449,355263.51,221828.39,9806.76,68601.68,117580.89,33.09681031,1.070053292,1.494697046
8112,MOET HENNESSY USA INC,115,Belvedere Vodka,21.37,27.99,1000,11119,237613.03,10255,287037.45,136171.35,10767.75,48347.26,49424.42,17.21880542,0.92229517,1.208003829
3960,DIAGEO NORTH AMERICA INC,4734,Capt Morgan Cannon Blast,11.9,16.99,750,19847,236179.3,18637,280600.63,138684,14677.03,257032.07,44421.33,15.83080195,0.939033607,1.188083079
1392,CONSTELLATION BRANDS INC,8498,R M Woodbridge Svgn Bl Cal,5.84,8.99,1500,40293,235311.12,39910,402153.9,124011.33,8958.21,79528.99,166842.78,41.48729628,0.990494627,1.70903058
3960,DIAGEO NORTH AMERICA INC,4429,Capt Morgan Silver Spicd Rum,17.31,22.99,1750,13569,234879.39,13116,301339.84,174606.04,24103.19,257032.07,66460.45,22.05498284,0.966615078,1.282955648
10000,MAJESTIC FINE WINES,24327,La Crema Pnt Nr Sonoma Cst,13.1,19.99,750,17856,233913.6,15704,323546.96,125859.5,1754,17587.59,89633.36,27.7033541,0.879480287,1.383190033
3664,WILLIAM GRANT & SONS INC,4218,Sailor Jerry Spiced Navy Rum,12.31,16.99,750,18993,233803.83,16583,286511.17,165062.82,13062.31,30234.42,52707.34,18.39626008,0.873111146,1.225434032
3664,WILLIAM GRANT & SONS INC,2398,Tullamore Dew,16.4,20.99,750,14238,233503.2,13347,300055.53,174270.02,10514.58,30234.42,66552.33,22.18000448,0.937420986,1.285016779
10754,PERFECTA WINES,2531,WhistlePig 10 Yr Old Rye,46.37,63.99,750,5011,232360.07,4102,288456.98,204948.87,3233.6,28720.52,56096.91,19.44723612,0.818599082,1.241422332
1128,BROWN-FORMAN CORP,5299,Southern Comfort,15.26,21.99,1750,15196,231890.96,15234,349220.66,136423.8,27990.82,68601.68,117329.7,33.59758269,1.002500658,1.505969271
10754,PERFECTA WINES,43223,Ch Beauchene Cotes du Rhone,5.93,8.99,750,38980,231151.4,38054,365707.74,100440.71,4262.96,28720.52,134556.34,36.79340776,0.976244228,1.582113455
1392,CONSTELLATION BRANDS INC,3804,Svedka Vodka,7.63,12.99,750,30170,230197.1,29953,308911.47,143881.53,23583.08,79528.99,78714.37,25.48120664,0.992807425,1.341943361
1392,CONSTELLATION BRANDS INC,6565,Clos du Bois Cab Svgn N Cst,5.99,10.99,750,38180,228698.2,37769,352579.31,95914.87,4231.89,79528.99,123881.11,35.13567203,0.989235202,1.541679427
1392,CONSTELLATION BRANDS INC,29248,Toasted Head Chard,6.53,9.99,750,34803,227263.59,33858,360783.42,101906.47,3792.69,79528.99,133519.83,37.00830543,0.972847168,1.587510872
8892,TRINCHERO FAMILY ESTATES,12771,Joel Gott Cab Svgn 815,8.44,12.99,750,26874,226816.56,25372,339061.28,109807.91,2839.34,11595.97,112244.72,33.10455266,0.944109548,1.494870039
3960,DIAGEO NORTH AMERICA INC,1380,Bulleit 95 Rye,34.05,49.99,1750,6655,226602.75,6486,315297.14,208791.13,11921.34,257032.07,88694.39,28.13041374,0.97460556,1.391409151
9815,WINE GROUP INC,11826,Cupcake Chard,4.72,6.99,750,47943,226290.96,46616,350764.84,84403.3,5225.62,27100.41,124473.88,35.48641876,0.972321298,1.550061213
12546,JIM BEAM BRANDS COMPANY,8066,DeKuyper Triple Sec,7.13,8.99,1750,31564,225051.32,31254,285991.46,109083.44,57425.27,123880.97,60940.14,21.30837753,0.990178685,1.270783304
9815,WINE GROUP INC,14706,Cupcake Prosecco,4.6,8.99,750,48442,222833.2,47545,422212.55,95398.91,5332.48,27100.41,199379.35,47.22250677,0.981483011,1.894747057
8664,"STOLI GROUP,(USA) LLC",3680,Stolichnaya Ohranj,18.93,24.99,1750,11728,222011.04,11749,297848.51,165749.74,21591.1,18544.49,75837.47,25.46175907,1.001790587,1.341593238
12546,JIM BEAM BRANDS COMPANY,1278,Jim Beam Black,26.71,35.99,1750,8275,221025.25,7868,277415.32,195511.55,14462.48,123880.97,56390.07,20.32694878,0.95081571,1.255129538
7239,REMY COINTREAU USA INC,5124,Cointreau Liqueur,51.53,66.99,1750,4269,219981.57,4150,279734.5,204523.7,7629.18,16978.67,59752.93,21.36058656,0.972124619,1.271626982
8004,SAZERAC CO INC,1398,Blantons Sgl Barrel Bourbon,40.59,56.99,750,5415,219794.85,5339,302732.61,164770.9,4205.64,50293.62,82937.76,27.39637464,0.985964912,1.377341689
3960,DIAGEO NORTH AMERICA INC,3397,Ciroc Red Berry Vodka,18.24,24.99,750,12012,219098.88,12058,305545.42,136362.61,9498.55,257032.07,86446.54,28.2925334,1.003829504,1.394554915
1128,BROWN-FORMAN CORP,3614,Finlandia Vodka,15.99,19.99,1750,13694,218967.06,13788,287664.12,146053.64,25337.75,68601.68,68697.06,23.88099705,1.00686432,1.313732394
12546,JIM BEAM BRANDS COMPANY,1358,Knob Creek Bourbon,42.85,64.99,1750,5105,218749.25,4775,296925.25,229111.24,8778.35,123880.97,78176,26.32851197,0.935357493,1.357377225
12546,JIM BEAM BRANDS COMPANY,4269,Calico Jack Spiced Rum,9.22,11.99,1750,23661,218154.42,23702,292863.98,148820.73,43549.61,123880.97,74709.56,25.5099859,1.001732809,1.342461821
3960,DIAGEO NORTH AMERICA INC,2723,J & B Rare,21.42,29.99,1750,10153,217477.26,9306,289581.94,166336.26,17103.1,257032.07,72104.68,24.89957765,0.916576381,1.331550434
3252,E & J GALLO WINERY,40545,Whitehaven Svgn Bl Marlboro,9.93,14.99,750,21850,216970.5,21477,321940.23,103565.91,2403.61,61966.91,104969.73,32.60534727,0.982929062,1.483797244
9815,WINE GROUP INC,31465,Franzia Tap Chard,10.38,15.99,5000,20812,216028.56,20846,347563.54,181829.67,15634.5,27100.41,131534.98,37.84487291,1.001633673,1.608877734
1128,BROWN-FORMAN CORP,2062,Woodford Reserve Bourbon,44.11,59.99,1750,4886,215521.46,5017,314043.83,223516.4,9222.25,68601.68,98522.37,31.37217184,1.026811298,1.457134849
7245,PROXIMO SPIRITS INC.,8472,1800 Silver Tequila,14.99,20.99,750,14375,215481.25,14364,331230.36,189127.8,11313.6,38994.78,115749.11,34.94519947,0.999234783,1.537165577
1392,CONSTELLATION BRANDS INC,28947,R M Woodbridge Merlot Cal,5.91,8.99,1500,36313,214609.83,35634,357635.66,119032.39,7996.23,79528.99,143025.83,39.99204945,0.981301462,1.666445847
8352,LUXCO INC,8626,Ezra Brooks,11.67,15.99,1750,18389,214599.63,18180,326500.2,182883.13,33405.66,10261.6,111900.57,34.27274164,0.98863451,1.521438783
480,BACARDI USA INC,5315,B & B Liqueur Dom,19.22,28.99,750,11165,214591.3,11624,307571.76,174993.25,9155.84,89286.27,92980.46,30.2304932,1.041110614,1.433290912
12546,JIM BEAM BRANDS COMPANY,273,Sauza Extra Gold Tequila,17.31,21.99,1750,12365,214038.15,10442,235543.58,131726.72,19190.54,123880.97,21505.43,9.130127851,0.844480388,1.100474752
3960,DIAGEO NORTH AMERICA INC,567,Ketel One Vodka,20.71,28.99,1000,10321,213747.91,10206,295871.94,134252.69,10716.3,257032.07,82124.03,27.75661322,0.988857669,1.384209745
3960,DIAGEO NORTH AMERICA INC,3072,Ciroc Peach Vodka,18.24,24.99,750,11614,211839.36,11265,283914.35,104525.02,8874.12,257032.07,72074.99,25.38617368,0.96995006,1.340234176
4425,MARTIGNETTI COMPANIES,13665,Josh Cellars Chard,8.96,12.99,750,23640,211814.4,23175,312371.37,104057.86,2592.83,144929.24,100556.97,32.19148093,0.980329949,1.474740952
3252,E & J GALLO WINERY,33149,Alamos Ridge Malbec Mendoza,4.79,8.99,750,43995,210736.05,43685,382832.11,101927.57,4894.99,61966.91,172096.06,44.95340268,0.992953745,1.816642715
3960,DIAGEO NORTH AMERICA INC,2287,Johnnie Walker Double Black,29.22,38.99,750,7176,209682.72,6790,276954.1,164737.73,5349.8,257032.07,67271.38,24.28972165,0.946209588,1.320824625
4425,MARTIGNETTI COMPANIES,36770,Yellow Tail Cab Svgn Ausl,6.13,9.99,1500,34120,209155.6,33726,326204.5,101508.53,7569.74,144929.24,117048.9,35.88206171,0.988452521,1.559625944
8004,SAZERAC CO INC,5891,Ryans Irish Cream,11.84,15.99,1750,17651,208987.84,18252,291849.48,161690.88,33539.21,50293.62,82861.64,28.39190942,1.034049062,1.396490246
8004,SAZERAC CO INC,3612,Taaka Vodka,6.81,9.99,1750,30304,206370.24,30650,284147.5,106645.45,56313.44,50293.62,77777.26,27.37214299,1.011417635,1.376882151
9819,TREASURY WINE ESTATES,32648,Beringer Classic Wh Znfdl,5.3,7.99,1500,38916,206254.8,38957,344974.43,105214.95,8746.09,14836.57,138719.63,40.21156872,1.001053551,1.672564372
3960,DIAGEO NORTH AMERICA INC,3513,Ciroc Snap Frost Vodka,17.98,24.99,750,11424,205403.52,11526,290943.74,129614.09,9080.47,257032.07,85540.22,29.40094879,1.008928571,1.41644963
8664,"STOLI GROUP,(USA) LLC",3427,Stolichnaya Blueberi,17.85,24.99,1750,11462,204596.7,11516,291064.84,171474.33,21163.47,18544.49,86468.14,29.70751809,1.00471122,1.422627247
4425,MARTIGNETTI COMPANIES,46202,Yellow Tail Pnt Grigio Ausl,6.05,9.99,1500,33781,204375.05,33442,322375.46,97743.69,7506.9,144929.24,118000.41,36.60340958,0.989964773,1.577371895
8112,MOET HENNESSY USA INC,8537,Dom Chandon Brut Cuvee,9.39,13.99,750,21737,204110.43,20903,312343.97,91170.86,2340.12,48347.26,108233.54,34.65203442,0.96163224,1.530269521
9815,WINE GROUP INC,15393,Cupcake Pnt Grigio,4.51,6.99,750,45251,204082.01,44465,335460.35,90082.77,4981.88,27100.41,131378.34,39.16359713,0.982630218,1.643752676
12546,JIM BEAM BRANDS COMPANY,3726,Gilbeys Vodka Traveler,3.78,4.99,750,53960,203968.8,53667,276249.33,90540.51,42245.65,123880.97,72280.53,26.1649612,0.994570052,1.354370521
1392,CONSTELLATION BRANDS INC,44208,Black Box Pnt Grigio,10.95,16.99,3000,18622,203910.9,18429,333084.71,161168.69,8293.05,79528.99,129173.81,38.78106864,0.989635915,1.633481633
7245,PROXIMO SPIRITS INC.,8473,1800 Silver Tequila,24.44,41.99,1750,8333,203658.52,8205,306667.95,200539.13,15080.04,38994.78,103009.43,33.58989096,0.984639386,1.505794847
3252,E & J GALLO WINERY,19848,Carnivor Cab Svgn,5.33,9.99,750,38169,203440.77,35495,335379.21,98377.78,3974.3,61966.91,131938.44,39.34007716,0.929943148,1.648534903
8004,SAZERAC CO INC,5101,Dr McGillicuddy's Mentholmnt,10.39,13.99,750,19547,203093.33,18265,258455.35,128510.37,14385.03,50293.62,55362.02,21.42034204,0.934414488,1.272593984
8673,STE MICHELLE WINE ESTATES,8838,Ch Ste Michelle Cab Svgn Col,7.71,12.99,750,26317,202904.07,25737,344457.47,120603.89,2878.1,15919.7,141553.4,41.09459435,0.977961014,1.697637066
480,BACARDI USA INC,4226,Bacardi Superior Rum Trav,7.68,13.99,750,26107,200501.76,25990,300152.1,156776.33,20464.31,89286.27,99650.34,33.19994763,0.995518443,1.497004814
3664,WILLIAM GRANT & SONS INC,2517,Balvenie 14 Yr Caribean Cask,46.42,68.99,750,4316,200348.72,4263,299856.37,216487.3,3360.3,30234.42,99507.65,33.18510459,0.987720111,1.496672252
2000,SOUTHERN WINE & SPIRITS NE,26948,Ferrari-Carano Chard,11.53,18.99,750,17364,200206.92,15055,295359.45,91524.68,1684.8,19016.59,95152.53,32.21584073,0.867023727,1.475270935
3960,DIAGEO NORTH AMERICA INC,4265,Capt Morgan Spiced Rum,8.26,10.99,375,24219,200048.94,24042,264221.58,145342.75,9442.78,257032.07,64172.64,24.2874333,0.992691688,1.320784704
1128,BROWN-FORMAN CORP,8288,Korbel Brut,7.94,11.99,750,25153,199714.82,24819,317622.81,100515.05,2777.41,68601.68,117907.99,37.12201589,0.986721266,1.590381775
3960,DIAGEO NORTH AMERICA INC,1003,Crown Royal +2 Reusable Cups,16.66,25.99,750,11973,199470.18,9310,214036.9,62120.98,7330.04,257032.07,14566.72,6.805704998,0.777582895,1.073027056
3960,DIAGEO NORTH AMERICA INC,822,Tanqueray,19.99,26.99,1000,9976,199420.24,9900,267201,143883.69,10395,257032.07,67780.76,25.36695596,0.992381716,1.33988907
3960,DIAGEO NORTH AMERICA INC,305,Crown Royal Canadian Whisky,22.21,27.99,1000,8946,198690.66,8826,247039.74,139698.09,9267.3,257032.07,48349.08,19.57137746,0.986586184,1.243338464
10000,MAJESTIC FINE WINES,6575,Kendall Jackson RSV Svgn Bl,5.84,9.99,750,33825,197538,31723,314527.77,91508.11,3552.37,17587.59,116989.77,37.1953707,0.937856615,1.592239316
480,BACARDI USA INC,4223,Bacardi Gold Rum,14.92,19.99,1750,13236,197481.12,13505,288560.95,168313.87,24818.01,89286.27,91079.83,31.56346346,1.020323361,1.461207785
1590,DIAGEO CHATEAU ESTATE WINES,32906,Sterling Vintners Cab Svgn C,6.42,9.95,750,30724,197248.08,30852,329861.74,98076.99,3455,7259.75,132613.66,40.20280133,1.004166124,1.672319142
11567,CAMPARI AMERICA,8258,Campari,21.05,27.99,750,9347,196754.35,9285,278457.15,163505.48,7314.69,20964.81,81702.8,29.34124694,0.993366856,1.415252827
8664,"STOLI GROUP,(USA) LLC",3694,Stolichnaya Razberi,13.48,16.99,750,14577,196497.96,14539,265312.61,145786.31,11450.12,18544.49,68814.65,25.93719537,0.997393154,1.350205417
11567,CAMPARI AMERICA,3834,Skyy Vodka,10.23,12.99,750,19183,196242.09,19245,253062.55,143069,15156.72,20964.81,56820.46,22.45312868,1.003232028,1.289542677
3960,DIAGEO NORTH AMERICA INC,4478,Myers Original Dark Rum,13.53,17.99,750,14485,195982.05,14711,264650.89,154624.05,11587.62,257032.07,68668.84,25.94695223,1.015602347,1.350383313
